year,Business,Holiday,Miscellaneous,Study,VFR,visits
2002,0.240537416822,0.419084373331,0.0919486883813,0.016049084009,0.232380437456,11603.3820794
2003,0.233770307173,0.422897682993,0.085784628018,0.0181440926277,0.239403289189,11695.7504415
2004,0.215826107241,0.437541332975,0.0890771265708,0.0154869013269,0.242068531886,13389.3304112
2005,0.228533909167,0.42173304222,0.087183370819,0.0133643225538,0.249185355241,13892.5689795
2006,0.234664484002,0.419806489788,0.093073567256,0.013739721358,0.238715737597,15592.6461415
2007,0.233333961796,0.42387871279,0.0849470608291,0.0165324393778,0.241307825207,15339.7714895
2008,0.210064603451,0.443573192493,0.0827974900599,0.0132584581988,0.250306255797,14752.993692
2009,0.179890520023,0.4964035094,0.0830677885476,0.011952853439,0.228685328591,14211.2979861
2010,0.18873697009,0.498114965082,0.0805382743866,0.0137382315809,0.218871558861,14705.5413382
2011,0.196025160757,0.498118487455,0.0712648770799,0.011640846875,0.222950627834,15289.4929047
2012,0.198437950809,0.494743422747,0.0669662869851,0.0115857100563,0.228266629403,15460.8642467
2013,0.193008040602,0.506139968784,0.0652531982258,0.0105825027692,0.225016289619,16810.7582222
2014,0.188156322911,0.512160505986,0.058654456489,0.0141020379591,0.226926676655,17404.2156497
2015,0.199749941472,0.495645761132,0.0610388286996,0.00971210251104,0.233853366185,18581.145357
